flybase_gene_id	flybase_symbol	TSS.rep1.mef2_06to08h	TSS.rep2.mef2_06to08h
FBgn0000158	bam	0.386411361	-0.438579754
FBgn0000163	baz	2.318856715	4.99757058
FBgn0000166	bcd	-1.746987764	-1.372991412
FBgn0000171	bel	-1.236025845	0.269175695
FBgn0000173	ben	0.422937237	2.264559688
FBgn0000179	bi	2.32324154	4.476997671
FBgn0000180	bib	3.637606861	6.130033143
FBgn0000181	bic	1.668269641	4.01202071
FBgn0000182	BicC	1.159902831	-0.474329779
FBgn0000183	BicD	0.994479222	3.069040658
FBgn0000206	boss	0.645329658	-2.232128876
FBgn0000210	br	-0.10757748	-0.526872142
FBgn0000212	brm	0.677120725	2.834485408
FBgn0000221	brn	0.257877991	1.989326426
FBgn0000227	Bsg25A	-1.162025264	-1.121097564
FBgn0000228	Bsg25D	0.398891763	2.634497849
FBgn0000229	bsk	-0.068915859	2.029856678
FBgn0000233	btd	2.52078456	5.249105473
FBgn0000239	bur	0.676056174	2.715403704
FBgn0000241	bw	2.035914114	2.465896289
FBgn0000242	Bx	2.487067574	4.458052936
FBgn0000244	by	2.50266443	4.195094161
FBgn0000246	c(3)G	-0.723904151	0.266121991
FBgn0000247	ca	1.242958571	2.580406285
FBgn0000250	cact	3.817413414	5.981966032
FBgn0000251	cad	1.951486429	3.599428394
FBgn0000253	Cam	2.791407918	4.398348284
FBgn0000256	capu	1.020838794	2.357634611
FBgn0000257	car	0.339521229	2.452945109
FBgn0000258	CkIIalpha	-0.503062181	1.312940897
FBgn0000259	CkIIbeta	1.01368209	2.776219705
FBgn0000261	Cat	2.125215174	4.263036954
FBgn0000273	Pka-C1	2.726300985	5.284848814
FBgn0000274	Pka-C2	-0.293269797	-1.445532515
FBgn0000283	Cp190	0.432097236	2.451323488
FBgn0000286	Cf2	-0.939632842	1.1099771
FBgn0000287	salr	-0.714566287	-2.470288614
FBgn0000289	cg	1.121428683	3.184956452
FBgn0000299	Cg25C	3.106841587	4.334217946
FBgn0000303	Cha	-0.162025264	0.122536005
FBgn0000307	chif	1.351383976	3.861639854
FBgn0000308	chic	3.388479371	5.916459663
FBgn0000313	chp	1.064483266	-0.647166376
FBgn0000316	cin	-0.22913946	1.853894867
FBgn0000317	ck	0.234864889	2.740196165
FBgn0000318	cl	-0.354670342	1.278065856
FBgn0000319	Chc	-0.025208574	2.263036954
FBgn0000320	eya	3.123912974	5.732731788
FBgn0000326	clt	0.035914114	-0.301391539
FBgn0000330	cm	-0.704174681	0.691635538
FBgn0000337	cn	-0.100624719	-0.511104826
FBgn0000338	cnc	0.541581734	1.824139343
FBgn0000339	cni	0.07810874	1.87048619
FBgn0000346	comt	-1.261560937	-0.721166957
FBgn0000351	cort	-0.850081257	-1.049264819
FBgn0000352	cos	-0.000870472	2.459748828
FBgn0000356	Cp16	1.422937237	0.03635996
FBgn0000357	Cp18	0.522472911	-2.275197598
FBgn0000358	Cp19	-0.577062763	-2.049264819
FBgn0000359	Cp36	-1.840097169	-2.121097564
FBgn0000360	Cp38	-3.898990858	-1.969094471
FBgn0000363	cpo	2.146227894	4.258742461
FBgn0000370	crc	1.274545397	3.951639775
FBgn0000376	crm	-0.036494382	2.158105232
FBgn0000377	crn	0.462465601	2.00112206
FBgn0000382	csw	-0.050993951	1.652878601
FBgn0000384	cta	0.125256688	1.43375362
FBgn0000392	cup	-0.461585546	-1.025677999
FBgn0000394	cv	0.628051667	2.759295229
FBgn0000395	cv-2	4.116635377	6.10331056
FBgn0000404	CycA	2.408793055	4.755054678
FBgn0000405	CycB	1.318687275	4.099971024
FBgn0000406	Cyt-b5-r	1.096126921	1.522758626
FBgn0000409	Cyt-c-p	1.113986996	3.431784966
FBgn0000411	D	-1.898990858	-1.79012433
FBgn0000412	D1	0.356441825	3.275465069
FBgn0000413	da	0.402945762	2.468310842
FBgn0000414	Dab	0.279573062	1.39431026
FBgn0000416	Sap-r	1.519152552	3.449095477
FBgn0000422	Ddc	0.316022033	0.930142552
FBgn0000427	dec-1	-4.726809882	-0.395627609
FBgn0000439	Dfd	-0.932543418	1.087173749
FBgn0000442	Pkg21D	-0.22913946	-0.737364185
FBgn0000447	Dhod	0.101009142	1.404180504
FBgn0000448	Hr46	-0.331950265	-0.8335795
FBgn0000449	dib	1.105747061	1.877578602
FBgn0000451	ect	0.422937237	2.156436412
FBgn0000454	Dip-B	0.127481354	0.19335541
FBgn0000455	Dip-C	0.134956474	1.61586803
FBgn0000459	disco	2.594703585	4.747126665
FBgn0000463	Dl	3.277144505	5.678601351
FBgn0000464	Lar	-0.020669414	0.440296466
FBgn0000472	dm	3.563267456	5.653010803
FBgn0000473	Cyp6a2	-2.036494382	-0.355703562
FBgn0000477	DNaseII	1.375631522	2.315466772
FBgn0000479	dnc	1.101009142	2.754932068
FBgn0000482	dor	0.846148668	2.639996301
FBgn0000489	Pka-C3	-0.113115663	0.163009065
FBgn0000490	dpp	1.996265037	4.067920118
FBgn0000492	Dr	2.895966459	5.159167892
FBgn0000497	ds	3.529136641	5.808476982
FBgn0000499	dsh	1.261186167	3.118368371
FBgn0000500	Dsk	-0.676598436	-1.368012304
FBgn0000504	dsx	-0.110494963	1.023525999
FBgn0000520	dwg	0.846436315	2.457495986
FBgn0000524	dx	0.167680182	3.258536328
FBgn0000527	e	0.422937237	1.98510184
FBgn0000529	bsh	-0.407137761	-1.604097654
FBgn0000533	ea	0.075013934	0.820820004
FBgn0000535	eag	-0.261560937	0.844686721
FBgn0000536	eas	2.401447814	5.059146491
FBgn0000541	E(bx)	0.315624213	2.351038111
FBgn0000542	ec	3.35344039	5.563785894
FBgn0000543	ecd	0.629388115	2.315293908
FBgn0000546	EcR	3.771949211	5.838662933
FBgn0000547	ed	2.895199605	5.679987829
FBgn0000551	Edg78E	0.80859093	1.246842929
FBgn0000552	Edg84A	-1.384417685	-3.106597994
FBgn0000556	Ef1alpha48D	2.947793837	5.492661487
FBgn0000557	Ef1alpha100E	0.567327146	1.250386355
FBgn0000559	Ef2b	2.534186331	5.034267272
FBgn0000560	eg	1.611971061	4.277574596
FBgn0000562	egl	1.854548961	3.790864021
FBgn0000564	Eh	-0.683977967	-0.545286762
FBgn0000565	Eip71CD	1.453525557	2.263418703
FBgn0000566	Eip55E	1.341509638	3.019759756
FBgn0000567	Eip74EF	1.159902831	1.917332022
FBgn0000568	Eip75B	1.339105646	3.031772273
FBgn0000575	emc	3.772683276	6.081892569
FBgn0000576	ems	2.643384014	4.767871124
FBgn0000577	en	1.476575201	3.576345716
FBgn0000578	ena	2.764445701	5.251351039
FBgn0000579	Eno	1.149918743	2.702337964
FBgn0000581	E(Pc)	1.289386907	3.942881414
FBgn0000588	esc	-0.922198249	1.844309496
FBgn0000592	Est-6	-0.416598091	-0.364766645
FBgn0000594	Est-P	-0.029574968	-1.521635494
FBgn0000606	eve	1.828193716	3.796032216
FBgn0000611	exd	-0.113662242	1.978668406
FBgn0000615	exu	-0.621456882	-1.521635494
FBgn0000617	e(y)1	-0.004483987	2.115334311
FBgn0000625	eyg	-0.643558175	1.330637878
FBgn0000629	E(z)	-0.277502481	2.091829754
FBgn0000630	f	-0.193734123	0.937796125
FBgn0000633	fas	3.81029481	6.279983059
FBgn0000634	Fas1	3.188258741	5.260875613
FBgn0000635	Fas2	3.280918232	5.285259312
FBgn0000636	Fas3	3.396137178	5.546333495
FBgn0000639	Fbp1	-0.06248959	-1.569998515
FBgn0000640	Fbp2	-1.354670342	-2.895093889
FBgn0000644	Fcp3C	-0.751560494	0.273978204
FBgn0000658	fj	3.52820928	6.074736991
FBgn0000659	fkh	1.628612263	3.473346432
FBgn0000662	fl(2)d	1.402759355	3.536796459
FBgn0000667	Actn	3.153616568	5.057814407
FBgn0000709	fliI	0.59926001	2.701983188
FBgn0000711	flw	2.140003274	4.175162761
FBgn0000715	Fmrf	-0.331950265	-0.098545722
FBgn0000719	fog	2.61933445	4.881121858
FBgn0000721	for	4.007899738	5.979759418
FBgn0000723	Fps85D	4.165950639	6.330548291
FBgn0000808	gd	-0.799455184	-2.335222369
FBgn0000810	fs(1)K10	0.513135046	2.60621786
FBgn0000826	png	-0.769707841	0.162730741
FBgn0000927	fs(1)Ya	-3.036494382	-2.726893568
FBgn0000928	fs(1)Yb	-0.540536887	-0.027438457
FBgn0000964	tj	-2.384417685	-0.817091377
FBgn0000986	Fs(2)Ket	0.761353455	2.832693125
FBgn0000996	dup	0.029371268	2.641784397
FBgn0001075	ft	-0.336054663	-1.00471838
FBgn0001077	ftz	1.545793985	2.457869095
FBgn0001078	ftz-f1	0.529852441	-1.416553448
FBgn0001079	fu	1.904953436	4.13057075
FBgn0001083	fw	1.564956242	2.518843576
FBgn0001084	fy	-0.329541356	1.927303751
FBgn0001085	fz	4.131728325	6.198437718
FBgn0001086	fzy	0.261186167	3.066021835
FBgn0001087	g	-0.751560494	1.801964322
FBgn0001089	Gal	0.496937819	0.421220599
FBgn0001090	bnb	3.188020506	6.115236959
FBgn0001091	Gapdh1	-0.451531881	0.815805601
FBgn0001092	Gapdh2	0.712443854	2.075826276
FBgn0001098	Gdh	2.954657717	3.95187131
FBgn0001099	gdl	-1.824990276	0.24591842
FBgn0001104	G-ialpha65A	0.951631518	3.823497099
FBgn0001105	Gbeta13F	1.530625106	3.903526223
FBgn0001108	Gl	-0.226565516	1.545478702
FBgn0001112	Gld	0.270934144	1.443031433
FBgn0001114	Glt	0.519152552	0.287245283
FBgn0001120	gnu	-1.992100262	-1.090773027
FBgn0001122	G-oalpha47A	1.327480078	3.437722522
FBgn0001123	G-salpha60A	0.701653265	1.956411803
FBgn0001124	Got1	-0.218608792	1.248997813
FBgn0001125	Got2	1.550692784	1.995677041
FBgn0001128	Gpdh	-1.495448997	0.917738473
FBgn0001133	grau	0.137960278	1.765274012
FBgn0001134	Grd	-0.046548046	-1.545286762
FBgn0001137	grk	1.520548034	2.506867253
FBgn0001138	grn	1.784336773	3.449120316
FBgn0001139	gro	1.182229918	3.604552717
FBgn0001142	Gs1	2.998476484	4.885823372
FBgn0001145	Gs2	2.153330177	1.490337148
FBgn0001147	gsb-n	0.258550419	1.926825007
FBgn0001148	gsb	2.859036352	4.951601925
FBgn0001149	GstD1	2.336681504	4.015214432
FBgn0001150	gt	2.282906785	3.859467764
FBgn0001168	h	4.371693807	5.828567055
FBgn0001169	H	0.413222082	2.778139459
FBgn0001170	H2.0	2.026758765	2.967300119
FBgn0001174	halo	2.055205453	2.149846602
FBgn0001179	hay	0.372311164	1.832524082
FBgn0001180	hb	3.682024458	5.556854078
FBgn0001185	her	-0.513497634	0.937796125
FBgn0001186	Hex-A	2.810156792	4.769976326
FBgn0001187	Hex-C	-1.162025264	-0.831590947
FBgn0001189	hfw	0.665138139	2.11008349
FBgn0001197	His2Av	3.06208363	5.714431865
FBgn0001202	hk	0.479520765	2.499675013
FBgn0001203	Hk	-0.451531881	0.004910321
FBgn0001205	Hmgcr	3.025821646	5.241531103
FBgn0001206	Hmr	1.092788635	2.642740046
FBgn0001208	Hn	1.690417548	2.192037412
FBgn0001215	Hrb98DE	2.469515604	5.047094768
FBgn0001216	Hsc70-1	0.291692704	-0.337838318
FBgn0001217	Hsc70-2	-1.577062763	-1.969094471
FBgn0001218	Hsc70-3	2.81525466	4.033644536
FBgn0001219	Hsc70-4	2.929843792	5.571195043
FBgn0001220	Hsc70-5	1.034371949	2.947382174
FBgn0001222	Hsf	2.399221168	4.346111243
FBgn0001223	Hsp22	3.03080014	3.336558085
FBgn0001224	Hsp23	2.9550573	1.892883703
FBgn0001225	Hsp26	3.033600248	2.855333965
FBgn0001226	Hsp27	2.348936656	3.049689005
FBgn0001227	Hsp67Ba	-0.807360382	-0.877463995
FBgn0001228	Hsp67Bb	0.751169909	0.919533919
FBgn0001229	Hsp67Bc	2.182986444	3.032843334
FBgn0001230	Hsp68	3.736203531	4.218839745
FBgn0001233	Hsp83	2.578648379	2.57053435
FBgn0001235	hth	3.501822401	5.781810941
FBgn0001247	Ide	-1.672219996	0.393097495
FBgn0001248	Idh	2.159902831	3.163129822
FBgn0001250	if	3.136275772	5.369605974
FBgn0001253	ImpE1	2.398689691	2.830242984
FBgn0001254	ImpE2	-0.22913946	1.717597917
FBgn0001255	ImpE3	-0.281606879	0.443031433
FBgn0001256	ImpL1	0.101009142	0.718118088
FBgn0001257	ImpL2	4.143744753	5.887813969
FBgn0001258	ImpL3	2.486440179	4.481002161
FBgn0001259	in	1.879315532	3.526059989
FBgn0001263	inaD	0.460411942	-0.179661457
FBgn0001269	inv	1.243116199	3.315643065
FBgn0001276	ix	0.447184783	2.200830531
FBgn0001280	janA	-0.492670576	1.359820055
FBgn0001281	janB	-1.898990858	-0.831590947
FBgn0001285	Jon44E	-0.314028357	-2.624446299
FBgn0001291	Jra	0.298609102	2.519192011
FBgn0001296	kar	0.652419083	1.874070527
FBgn0001297	kay	3.429856651	4.765471031
FBgn0001301	kel	0.401242166	2.564337729
FBgn0001308	Khc	1.139144271	3.504836718
FBgn0001311	kkv	1.497705005	3.366639424
FBgn0001313	kl-2	-4.726809882	-1.106597994
FBgn0001314	kl-3		
FBgn0001315	kl-5	-4.726809882	-1.38413197
FBgn0001316	klar	2.196227521	5.005989779
FBgn0001319	kn	3.061600758	5.22996911
FBgn0001320	kni	1.881302168	3.884215085
FBgn0001321	knk	1.818865913	2.216772075
FBgn0001323	knrl	1.230292159	3.100734696
FBgn0001324	kto	0.568135153	2.337292773
FBgn0001325	Kr	3.464757413	5.874893381
FBgn0001330	kz	-0.331950265	1.764029057
FBgn0001332	L	3.075268086	5.724777257
FBgn0001337	Exp6	0.68100539	3.050690181
FBgn0001341	l(1)1Bi	-0.137777717	1.925872958
FBgn0001404	egh	1.521340941	4.177708645
FBgn0001491	l(1)10Bb	0.699147032	2.628174926
FBgn0001565	Hlc	1.55418177	3.797197795
FBgn0001612	l(1)dd4	0.611382326	2.626335029
FBgn0001624	dlg1	1.901771387	3.83249618
FBgn0001941	ifc	2.389930131	4.681579403
FBgn0001942	eIF-4a	1.453760161	3.491076549
FBgn0001961	Sop2	0.988217372	2.788219769
FBgn0001965	Sos	0.967742611	2.833960314
FBgn0001967	nimC3	0.019581543	0.144247002
FBgn0001970	Pgant35A	-0.139998957	1.51153137
FBgn0001974	l(2)35Bd	0.218578739	2.72695793
FBgn0001977	l(2)35Bg	1.135655285	2.722067434
FBgn0001978	stc	0.258817857	2.549939604
FBgn0001981	esg	3.029594809	4.638431556
FBgn0001983	wor	2.223405774	3.008879223
FBgn0001986	l(2)35Df	1.117524229	2.751644809
FBgn0001987	Gli	3.720927277	5.732005671
FBgn0001989	l(2)35Di	-0.148604748	2.10039063
FBgn0001990	wek	0.831402082	2.64313011
FBgn0001991	Ca-alpha1D	-1.017635354	-3.328990416
FBgn0001992	Cyp303a1	0.744865332	0.265370783
FBgn0001994	crp	3.314215863	5.907167718
FBgn0001995	mRpL4	0.119156489	1.833023803
FBgn0002021	l(2)37Bb	-0.162025264	0.745151047
FBgn0002022	Catsup	-0.792791454	0.333974597
FBgn0002023	Lim3	-0.06248959	0.661783865
FBgn0002031	l(2)37Cc	-0.137777717	2.468310842
FBgn0002036	CG10561	-1.128472704	0.485588833
FBgn0002044	swm	0.447184783	2.597593859
FBgn0002069	Aats-asp	1.482808693	4.029495959
FBgn0002121	l(2)gl	0.896868425	3.194135878
FBgn0002174	l(2)tid	-1.162025264	1.018414585
FBgn0002183	dre4	-0.06014565	2.36372194
FBgn0002283	l(3)73Ah	-1.323306171	0.603641728
FBgn0002284	Pros26	0.30746002	2.424218258
FBgn0002306	sas	2.458561147	4.487630402
FBgn0002354	l(3)87Df	-0.407137761	1.963151699
FBgn0002413	dco	0.601274478	2.817114643
FBgn0002431	hyd	1.512020781	4.230392688
FBgn0002440	l(3)mbn	-0.898990858	-1.647166376
FBgn0002441	l(3)mbt	0.071464867	1.544852397
FBgn0002466	sti	0.26165633	2.389670392
FBgn0002521	pho	-1.718418612	0.744258566
FBgn0002522	lab	1.816851445	3.769918952
FBgn0002524	lace	0.529852441	3.145523159
FBgn0002525	Lam	1.572832668	3.980183435
FBgn0002526	LanA	3.418962086	5.990102521
FBgn0002528	LanB2	3.749740055	5.774835611
FBgn0002533	Lcp2	0.685971643	-2.626988494
FBgn0002535	Lcp4	-0.69253998	-2.106597994
FBgn0002542	lds	-0.215964071	2.077199182
FBgn0002543	lea	3.508263543	5.812425962
FBgn0002552	lin	-0.189246732	1.533771618
FBgn0002561	l(1)sc	3.159492916	5.170866099
FBgn0002562	Lsp1alpha	-0.277502481	-2.016400185
FBgn0002563	Lsp1beta	1.13343062	-1.397188123
FBgn0002564	Lsp1gamma	-0.898990858	-1.431437685
FBgn0002565	Lsp2	-0.255134668	-1.156180023
FBgn0002566	lt	0.007899738	1.352833624
FBgn0002567	ltd	0.973952406	2.283830837
FBgn0002569	LvpD	0.522472911	-0.958368064
FBgn0002570	LvpH	-1.255134668	-1.203559724
FBgn0002571	LvpL	-0.255134668	-0.38413197
FBgn0002573	sens	2.159902831	4.068159408
FBgn0002576	lz	-0.146428409	1.190280612
FBgn0002577	m		
FBgn0002578	m1	0.464757413	-0.117796201
FBgn0002579	RpL36	2.686737201	5.040299811
FBgn0002590	RpS5a	2.452052623	4.509427399
FBgn0002592	m2	3.25689631	5.279089545
FBgn0002593	RpLP1	2.338958844	4.732651445
FBgn0002607	RpL19	2.059125061	4.560066238
FBgn0002609	HLHm3	2.616416966	5.048943089
FBgn0002622	RpS3	2.196051835	4.112200917
FBgn0002626	RpL32	1.864604576	4.253902981
FBgn0002629	m4	3.586940445	5.799738519
FBgn0002631	HLHm5	3.349188897	5.484994726
FBgn0002632	m6	-0.467651546	0.976790257
FBgn0002633	HLHm7	3.648808252	5.90054859
FBgn0002638	Bj1	-0.176524833	2.045599415
FBgn0002641	mal	-0.577062763	0.189334892
FBgn0002643	mam	2.675259864	5.48482917
FBgn0002645	Map205	2.348369893	4.773757967
FBgn0002652	squ	0.056154906	2.408686859
FBgn0002673	twe	-1.19003964	-1.025677999
FBgn0002707	mei-9		
FBgn0002709	mei-218	0.552220254	1.327146981
FBgn0002715	mei-S332	-0.769707841	0.620117503
FBgn0002716	mei-W68	1.979885362	4.398846022
FBgn0002719	Men	0.114814942	0.379305836
FBgn0002723	Met	-1.124550558	1.251904715
FBgn0002732	malpha	3.744257753	6.357834305
FBgn0002733	HLHmbeta	3.831361913	6.098884872
FBgn0002734	HLHmdelta	2.933421522	4.889122278
FBgn0002735	HLHmgamma	3.795389354	6.140903559
FBgn0002736	mago	0.813957855	2.799349355
FBgn0002772	Mlc1	1.451506389	2.757010131
FBgn0002773	Mlc2	3.051754027	4.239176843
FBgn0002774	mle	0.553333874	2.066270683
FBgn0002775	msl-3	0.344934725	2.332075064
FBgn0002778	mnd	1.521239311	3.068380235
FBgn0002780	mod	-0.752504769	2.082994041
FBgn0002781	mod(mdg4)	3.354863228	6.085944184
FBgn0002783	mor	0.046373886	2.962768653
FBgn0002787	Mov34	1.148314857	3.158083958
FBgn0002789	Mp20	1.139144271	1.323086281
FBgn0002791	mr	0.556792984	2.038288493
FBgn0002838	ms(3)K81	-1.460869745	0.966284682
FBgn0002842	sa	-1.746987764	-3.170728332
FBgn0002855	Acp26Aa	-1.979161206	-2.630678253
FBgn0002865	Mst98Ca	-0.451531881	-1.751503036
FBgn0002868	MtnA	-0.057391722	0.359923049
FBgn0002872	mu2	1.339105646	2.874370745
FBgn0002873	mud	1.531461694	3.352833624
FBgn0002878	mus101	-1.162025264	0.774130114
FBgn0002887	mus201	-0.331152535	1.58086158
FBgn0002891	mus205	-1.234175049	0.077199182
FBgn0002899	mus301	-1.272208181	-0.310131388
FBgn0002901	mus304	-0.400185001	-0.042304318
FBgn0002905	mus308	1.575788725	3.846304999
FBgn0002906	mus309	-0.55360379	1.298677854
FBgn0002909	mus312	-1.036494382	1.160188546
FBgn0002914	Myb	1.518620585	4.118750592
FBgn0002917	na	-1.162025264	-1.48005639
FBgn0002921	Atpalpha	2.224391558	4.1401043
FBgn0002922	nau	1.332171773	3.542908325
FBgn0002924	ncd	-0.009173776	1.206444137
FBgn0002926	ndl	1.422937237	-0.355703562
FBgn0002930	nec	0.060367158	1.200830531
FBgn0002931	net	1.906970829	4.690568903
FBgn0002932	neur	3.719316536	6.112519295
FBgn0002936	ninaA	1.422937237	0.685408963
FBgn0002937	ninaB	-0.764689766	-1.106597994
FBgn0002938	ninaC	-0.531259073	-2.287623989
FBgn0002939	ninaD	-0.577062763	-1.100884343
FBgn0002940	ninaE	0.291692704	-0.918468398
FBgn0002941	slou	0.195526741	2.407281408
FBgn0002945	nkd	3.923611381	6.100239028
FBgn0002948	nod	0.348936656	2.495372738
FBgn0002962	nos	-1.413564031	-1.186325187
FBgn0002968	Nrg	3.660195008	5.529787605
FBgn0002973	numb	3.072174764	5.738836382
FBgn0002985	odd	2.286530999	4.456748197
FBgn0002989	okr	-0.875404037	0.67151606
FBgn0003002	opa	1.671250137	4.198323675
FBgn0003008	or	-0.245856854	1.463477688
FBgn0003009	ord	-2.036494382	-1.881631629
FBgn0003011	ort	0.776574192	-0.998638746
FBgn0003015	osk	-1.293269797	-2.020624771
FBgn0003016	osp	3.322410361	5.807189006
FBgn0003022	Ote	0.332171773	1.593231834
FBgn0003023	otu	-0.236025845	-1.3299762
FBgn0003028	ovo	2.263156793	4.70605785
FBgn0003041	pbl	2.126125819	4.903192109
FBgn0003042	Pc	0.549385572	2.822150516
FBgn0003044	Pcl	1.107435411	3.023853907
FBgn0003046	Pcp	-0.764689766	-1.664239889
FBgn0003048	pcx	0.516046641	0.487483151
FBgn0003053	peb	3.829562497	5.922475326
FBgn0003057	CG10598	-0.577062763	-0.406158276
FBgn0003062	Fib	1.780489242	3.81758149
FBgn0003065	CG2150	-0.100624719	-0.284596296
FBgn0003067	Pepck	3.365577858	4.447853817
FBgn0003068	per	-0.277502481	1.141329519
FBgn0003071	Pfk	-0.241878571	0.429454906
FBgn0003074	Pgi	1.099322766	2.926698416
FBgn0003076	Pgm	0.032147284	1.954006352
FBgn0003079	phl	-0.264123451	1.821151206
FBgn0003082	phr	-1.415781856	-0.116651659
FBgn0003086	Pig1	-1.384417685	-1.36337341
FBgn0003087	pim	0.332739428	2.42918451
FBgn0003089	pip	0.888600809	1.99893642
FBgn0003090	pk	3.651334641	5.656614372
FBgn0003091	Pkc53E	1.146419602	1.63594247
FBgn0003093	Pkc98E	-0.303686413	1.458724793
FBgn0003114	plu	-1.255134668	-0.988203294
FBgn0003116	pn	0.153750604	-0.203559724
FBgn0003117	pnr	0.103477398	1.524020274
FBgn0003118	pnt	2.71621793	5.224344932
FBgn0003124	polo	0.997631402	3.36788797
FBgn0003129	Poxm	1.673344035	3.790555978
FBgn0003130	Poxn	-2.358422476	-0.377559316
FBgn0003132	Pp1-13C	-0.162025264	-1.762643593
FBgn0003134	Pp1alpha-96A	1.451888611	3.331163621
FBgn0003137	Ppn	3.761448216	5.533151545
FBgn0003138	Ptp61F	-0.437456696	1.787340988
FBgn0003139	PpV	0.308478512	2.0550338
FBgn0003140	PpY-55A	-3.664525604	-2.07343113
FBgn0003141	pr	-0.603057971	1.069040658
FBgn0003145	prd	1.845469273	3.005434842
FBgn0003149	Prm	1.67291549	2.738724778
FBgn0003159	ptr	-0.347580917	-0.780432907
FBgn0003162	Pu	1.588523303	2.658273596
FBgn0003165	pum	0.623364327	3.092124271
FBgn0003169	put	1.887855885	4.102998716
FBgn0003174	pwn	0.147302794	-2.319591718
FBgn0003175	px	1.568367677	3.941327816
FBgn0003177	pyd	3.463183692	6.005987559
FBgn0003178	PyK	0.285433713	2.258506242
FBgn0003187	qua	-0.509948567	0.901454278
FBgn0003189	r	-1.476898601	0.672770421
FBgn0003200	rap	2.601355517	5.477954017
FBgn0003204	ras	1.288636145	3.224318884
FBgn0003205	Ras85D	1.091486368	3.537708967
FBgn0003206	Ras64B	1.324533533	3.714968042
FBgn0003209	raw	2.54187831	3.954144119
FBgn0003210	rb	-0.782177193	1.29698039
FBgn0003218	rdgB	1.95018424	4.000183024
FBgn0003227	rec	-1.69253998	-0.75408158
FBgn0003231	ref(2)P	1.757356276	2.58415917
FBgn0003248	Rh2	0.323401564	-1.025677999
FBgn0003249	Rh3	-4.726809882	-1.38413197
FBgn0003250	Rh4	-1.117631144	-0.062203875
FBgn0003254	rib	3.002526566	5.578497217
FBgn0003255	rk	-0.036494382	1.68214125
FBgn0003256	rl	0.069300282	0.715403704
FBgn0003257	r-l	0.519152552	3.122605364
FBgn0003261	Rm62	3.257190642	5.200372085
FBgn0003267	ro	-0.649819105	-0.564704216
FBgn0003268	rod	1.058973922	2.587663149
FBgn0003270	amos	0.484337782	-1.276522996
FBgn0003274	RpLP2	2.047725718	4.374252608
FBgn0003275	RpII18	1.539750902	3.969178251
FBgn0003276	RpII140	0.37921586	2.390968753
