NAME	CHR	BEG	END	CLASS	F:M SLOPE	F10	F11	F12	U13	F14A	U14A	F14B	F14B_r2	F14C	F14C_r2	F14D	U14D	M10	M11	M12	M13	M14A	M14A_r2	M14B	M14B_r2	M14C	M14C_r2	M14D	M14D_r2	w1_F10	w1_F11	w1_F12	w1_U13	w1_F14A	w1_U14A	w1_F14B	w1_F14B_r2	w1_F14C	w1_F14C_r2	w1_F14D	w1_U14D	w1_M10	w1_M11	w1_M12	w1_M13	w1_M14A	w1_M14A_r2	w1_M14B	w1_M14B_r2	w1_M14C	w1_M14C_r2	w1_M14D	w1_M14D_r2	cas_F10	cas_F11	cas_F12	cas_U13	cas_F14A	cas_U14A	cas_F14B	cas_F14B_r2	cas_F14C	cas_F14C_r2	cas_F14D	cas_U14D	cas_M10	cas_M11	cas_M12	cas_M13	cas_M14A	cas_M14A_r2	cas_M14B	cas_M14B_r2	cas_M14C	cas_M14C_r2	cas_M14D	cas_M14D_r2
Aats-arg	X	15735795	15738169	mat	0.924012741	39.3	18.23	22.31	5.27	1.33	0.8	1.08	1.96	8.46	6.9	13.74	7.92	47.88	12.66	18.47	6.31	1.26	1.71	0.89	1.22	7.49	3.97	5.81	7.04	39.3	18.23	22.31	5.27	0	0	0.9	1.13	4.23	3.74	6.87	7.92	47.88	12.66	18.47	6.31	0	1.71	0	0	7.49	3.97	5.81	7.04	0	0	0	0	0	0	0.18	0.83	4.23	3.16	6.87	0	0	0	0	0	0	0	0	0	0	0	0	0
Aats-asn	2L	19129863	19131952	mat	1.056313311	146.87	154.17	138.26	91.89	43.2	32.21	35.89	36.85	32.46	30.84	34.83	37.84	133.3	143.22	126.68	92.69	56.29	46.28	33.12	41.6	36.22	31.27	36.39	28.68	146.87	154.17	138.26	91.89	43.2	32.21	35.89	36.85	20.18	27.9	27.5	27.88	133.3	143.22	126.68	92.69	54.88	46.28	33.12	41.6	27.17	26.64	20.79	17.21	0	0	0	0	0	0	0	0	12.28	2.94	7.33	9.96	0	0	0	0	1.41	0	0	0	9.05	4.63	15.6	11.47
Aats-asp	2R	8767823	8770675	mat	1.131415961	93.47	60.68	41.52	17.4	7.4	4.49	9	6.55	11.42	15.3	12.13	12.59	80.81	55.79	34.19	15.54	7.62	5.81	7.65	5.82	15.04	14.96	12.91	14.82																																																
Aats-cys	2R	12030654	12033415	mat	1.007374178	48.2	38.45	36.66	21.23	6.36	10.21	7.65	12.47	11.9	10.48	10.52	12.6	49.9	36.51	36.75	19.2	7.41	8.89	6.79	8.48	9.81	12.52	10.24	10	47.82	38.45	36.66	21.23	6.22	10.21	7.46	12.35	7.41	9.28	9.56	10.58	49.9	36.51	36.43	19.2	7.04	8.89	6.79	8.48	6.05	10.29	6.06	6.96	0.38	0	0	0	0.14	0	0.19	0.12	4.49	1.2	0.96	2.02	0	0	0.32	0	0.37	0	0	0	3.76	2.23	4.18	3.04
Aats-gln	3R	21088987	21091443	mat	1.050075944	106.11	107.25	90.84	61.61	32.23	25.45	24.9	33.34	28.67	29.1	32.87	35.64	102.56	97.3	89.09	58.29	33.9	35.16	18.85	30.63	30.95	31.67	30.58	28.97																																																
Aats-glupro	3R	19777851	19784117	matzyg	1.128419802	51.73	19.29	17.06	3.3	0.84	0.34	0.57	1.33	15.54	9.97	22.64	28.41	39.89	16.6	12.33	5.64	0.86	1.49	0.92	0.77	22.56	11.49	22.94	16.83																																																
Aats-gly	3L	15088255	15090790	mat	0.986454014	92.33	75.95	69.23	36.62	19.01	11.38	9.59	20.25	7.87	10.81	6.96	8.81	94.64	65.76	75.07	45.15	14.84	17.87	7.63	12.89	5.86	9.95	7.67	6.58																																																
Aats-his	X	18409431	18414480	mat	0.969758044	105.66	137.72	97.42	101.2	90.23	84.91	109.84	100.91	62.5	75.56	44.76	67.91	97.01	157.88	110.54	93.02	100.73	105.98	81.37	93.7	50.42	89.15	63.76	42.74	105.1	137.72	97.42	100.98	90.23	84.91	109.84	100.91	60.64	75.26	42.72	67.91	97.01	157.43	110.31	92.77	100.73	105.98	81.14	93.7	50.14	88.68	63.76	42.53	0.56	0	0	0.22	0	0	0	0	1.86	0.3	2.04	0	0	0.45	0.23	0.25	0	0	0.23	0	0.28	0.47	0	0.21
Aats-ile	3L	22281761	22285918	mat	0.984799193	92.1	58.41	134.9	104.1	148.86	103.69	52.94	179.54	68.86	168.49	68.47	79.1	125.02	51.97	109.02	136.16	117.84	119.59	63.36	147.96	64.21	150.97	50.21	47.85																																																
Aats-leu	3L	4825857	4829039	mat	1.042657364	32.86	23.98	26.92	8.96	1.67	0.89	1.35	1.87	5.59	7.44	9.17	9.66	33.01	22.65	20.52	11.71	2.59	2.4	1.26	2	8.72	5.87	8.68	6.23	32.86	23.98	0	0	0	0	0	0	0	0	0	0	33.01	22.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aats-lys	X	9500392	9502917	mat	0.997123821	220.93	273.1	238.66	226.96	214.52	132.67	182.98	162.96	104.88	144.76	84.11	121.86	208.88	291.1	228.59	222.36	216.43	198.86	172.21	184.07	99.83	142.1	114.61	106.37																																																
Aats-met	3R	10077211	10085708	mat	0.977795868	25.38	28.39	25.66	27.41	31.03	31.66	29.89	30.68	25.45	30.37	22.22	32.92	21.66	32.47	27.69	25.05	29.89	30.1	29.06	27.13	24.21	29.99	28.34	20.95	25.38	28.39	25.66	27.41	31.03	31.66	29.89	30.68	23.73	29.95	20.14	30.16	21.66	32.47	27.69	25.05	29.89	29.89	29.06	26.95	21.99	28.43	24.32	17.94	0	0	0	0	0	0	0	0	1.72	0.42	2.08	2.76	0	0	0	0	0	0.21	0	0.18	2.22	1.56	4.02	3.01
Aats-phe	2R	9855851	9857407	matzyg	1.065007185	22.81	16.95	20.87	11.8	4.45	2.68	3.56	2.61	13.8	7.27	17.18	22.37	19.89	20.01	16.34	11.59	6.83	3.92	2.17	3.86	13.52	7.71	14.2	18.18	0	16.95	20.87	11.8	0	0	0	0	0	0	0	0	0	0	16.34	0	0	0	0	0	0	0	0	11.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.99
Aats-pro	3L	2650160	2651834	mat	0.93415795	11.07	9.88	11.34	13.77	14.57	11.42	10.27	13.91	10	10.95	11.81	11.63	12.81	9.47	15.1	13.65	12.98	14.46	9.71	13.16	11.29	11.86	13.26	9.52																																																
Aats-ser	3R	11166406	11167939	mat	1.001824202	24.58	19.49	20.92	15.96	4.58	3.07	2.65	3.08	0	1.77	0	1.13	23.65	21.94	20.49	13.23	6.02	4.73	2.54	3.14	1.31	1.56	0	0																																																
Aats-thr	2L	12103733	12106894	mat	0.9860024	150.75	166.52	168.57	160.91	202.19	166.29	165.98	203.18	126.41	176.7	92.04	118.48	157.74	174.73	179.57	181.22	189.78	192.67	156.51	193.17	94	177.41	106.22	82.02																																																
Aats-trp	3R	5089538	5092670	mat	1.127887827	49.54	32.59	25.22	11.63	3.57	2.94	2.71	2.82	4.55	4.46	6.7	5.64	43.88	27.06	23.01	9.66	4.03	3.61	2.57	3.34	7.12	4.81	8.05	5.09																																																
Aats-tyr	3L	16410446	16412395	mat	1.009025202	106.01	122.36	119.92	120.69	146.63	114	132.79	145.12	145.04	147.03	145.22	147.26	110.16	115.78	124.58	135.95	132.03	145.2	128.39	144.26	139.95	140.38	142.77	142.22																																																
Aats-val	2R	9086355	9090217	mat	0.983067164	73.36	70.21	68.03	35.03	11.78	6.73	8.98	9.93	7.22	8.29	7.42	11.84	69.49	81.27	55.58	42.11	15.46	13.18	6.08	10.35	7.72	8.3	7.86	8.33	73.36	70.21	67.84	35.03	10.97	6.17	8.8	8.83	5.72	5.53	5.06	7.52	69.31	81.04	55.46	42.11	14.81	11.87	5.55	10.07	5.65	7.22	4.34	6.27	0	0	0.19	0	0.81	0.56	0.18	1.1	1.5	2.76	2.36	4.32	0.18	0.23	0.12	0	0.65	1.31	0.53	0.28	2.07	1.08	3.52	2.06
aay	3L	9416352	9417904	mat	1.07897631	84.31	83.02	88.87	97.03	84.81	76.88	74.26	86.24	54.69	44.05	71.61	72.27	91.4	72.46	87.85	82.9	90.13	80.73	63.82	86.06	40	44.64	37.94	79																																																
ab	2L	11210680	11261080	zyg	0.60818235	0.09	0.01	0	0.02	0.02	0.03	0.07	0.21	0.35	0.33	0.48	0.73	0	0.04	0	0.04	0.13	0.14	0.2	0.32	0.27	0.83	0.85	0.5																																																
abba	2R	14878539	14896449		0	0	0	0	0	0.03	0.01	0	0.01	0	0	0.02	0	0	0	0	0	0	0.01	0.02	0	0.01	0	0	0																																																
ABCB7	3L	1618391	1623413	matzyg	0.963459009	24.15	18.77	12.92	4.9	1.6	0.62	1.07	0.78	12.14	9.05	16.39	20.2	19.06	20.59	11.69	5.88	1.18	1.17	0.88	1.5	15.21	6.39	20.36	15.26	24.15	18.59	12.92	4.9	1.39	0	0	0	5.96	5.19	7.7	10.7	19.06	20.59	11.69	5.88	0	0	0	1.38	9.1	2.56	11.7	8.36	0	0.18	0	0	0.21	0	0	0	6.18	3.86	8.69	9.5	0	0	0	0	0	0	0	0.12	6.11	3.83	8.66	6.9
abd-A	3R	12633348	12655769	zyg	0.942199599	0.13	0.11	0.29	0.27	0.07	0.15	0.29	0.5	2.25	2.23	3.6	3.09	0.05	0.11	0.17	0.43	0.1	0.09	0.16	0.26	3.21	2.81	2.91	2.28																																																
Abd-B	3R	12753394	12769991	zyg	1.668799626	0.01	0	0	0.03	0.01	0.04	0.11	0.02	1.21	0.59	3.37	2.67	0	0	0	0.01	0.04	0.12	0.09	0.06	1.19	0.82	1.69	2.31																																																
Abi	3R	9944981	9948142	mat	0.959278193	71.08	64.22	78.38	70.07	63.02	52.01	47.24	73.08	45.67	52.25	50.04	48.19	71.18	82.33	68.89	86.72	64.91	63.29	39.99	65.84	37.02	59.4	37.55	30.14	71.08	63.93	78.38	70.07	62.41	52.01	46.49	72.34	41.22	48.23	40.71	37.95	71.18	81.55	68.89	86.72	64.35	62.42	39.74	65.84	29.46	55.61	31.11	22.99	0	0.29	0	0	0.61	0	0.75	0.74	4.45	4.02	9.33	10.24	0	0.78	0	0	0.56	0.87	0.25	0	7.56	3.79	6.44	7.15
Abl	3L	16615460	16641674	mat	0.812278162	52.16	49.71	52.33	42.12	43.56	35.55	37.78	85.25	7.09	42.77	3.45	6.58	47.77	79.53	58.27	62.11	42.37	60.24	32.53	59.35	3.32	38.66	3.98	3.12																																																
abo	2L	10973441	10975273	mat	1.085820718	16.53	12.95	17.55	12.03	10.2	5.44	3.31	6.52	3.58	5.71	5.11	5.1	15.12	9.67	15.3	14.41	6.83	9.65	4.5	7.68	3.09	3.51	4.75	5.78	0	0	17.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abs	3R	58764	60763	mat	1.0311849	27.91	26.6	30.06	28.94	33.58	31.23	35.41	39.16	43.88	45.08	39.99	38.49	27.59	25.97	32.31	33.96	35.37	32.24	29.44	37.19	36.66	43.85	37.16	32.99																																																
ac	X	264063	264980	zyg	1.745658148	0	8.42	40.08	9.82	13.47	4.68	10.08	12.82	4.76	2.29	3.25	1.95	0.61	3.39	17.1	14.28	4.96	2.97	1.35	4.17	1.24	1.81	2.79	4.17																																																
Ac13E	X	15404908	15416196	mat	0.884092137	3.34	2.4	4.17	2.63	3.2	1.82	2.09	5.57	0.66	0.59	1.04	1.69	3.73	3.29	4.3	3.79	3.24	3.56	1.49	4.09	0.37	0.73	0.66	0.39	3.34	0	4.17	2.63	3.2	1.82	2.09	5.57	0	0	0.69	0	3.73	0	4.3	3.79	3.24	3.56	1.49	4.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0
Ac3	2L	21632598	21647967	zyg	1.10781237	0.03	0.04	0.02	0.08	0.29	0.35	0.4	0.63	1.73	4.25	3.02	4.59	0.11	0.09	0	0.1	0.54	0.42	0.37	0.75	1.98	3.52	2.29	2.62																																																
Ac76E	3L	19932385	19971065	mat	1.50877193	0.59	0.59	0.22	0.02	0.01	0	0.04	0	0	0	0.03	0	0.33	0.44	0.04	0.06	0.01	0.01	0	0.01	0	0.01	0	0																																																
Ac78C	3L	21129544	21164991	zyg	1.212492635	0.36	0.29	0.66	4.45	24.89	22.49	20.19	59.38	47.8	89.17	41.75	39.14	0.25	0.18	0.58	2.92	13.44	28.04	30.93	37.21	33.42	77.06	29.58	17.52																																																
AcCoAS	3L	21264305	21273343	mat	0.898035724	46.99	47.47	53.63	26.14	10.41	6.21	5	4.15	2.05	1.07	2.36	2.94	59.91	49.38	45.72	38.62	11.49	8.97	2.77	8.45	1.81	0.71	2.59	2.26	46.99	47.47	53.63	0	0	0	0	0	0	0	0	0	59.91	49.38	45.72	38.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ace	3R	9053963	9085240	zyg	1.406167432	0.03	0.01	0	0.02	0	0.01	0.01	0.01	2.42	0.03	0.01	5.24	0.09	0	0.01	0.03	0.28	0	0	0.03	1.67	0	0	0																																																
Acer	2L	8521898	8524991	matzyg	1.16628642	39.39	46.73	49.01	48.33	61.12	52.4	66.5	98.43	138.79	132.01	139.07	141.03	43.04	43.21	47.22	52.43	55.31	65.3	61.85	78.5	113.36	112.47	108.39	108.35																																																
Acf1	3R	27619810	27625533	mat	1.059688832	119.48	81.32	135.87	54.04	14.58	6.1	4.63	10.86	25.89	22.8	36.41	45.62	121.67	70.59	91.32	84.27	15.19	17.08	3.89	11.7	27.4	20.21	27.58	25.66	119.48	81.32	135.87	54.04	14.58	0	2.95	7.96	14.28	14.03	18.96	21.2	119.69	70.59	91.32	84.27	13.4	15.53	0	0	15.98	13.47	15.32	18.53	0	0	0	0	0	0	1.68	2.9	11.61	8.77	17.45	24.42	1.98	0	0	0	1.79	1.55	0	0	11.42	6.74	12.26	7.13
achi	2R	8399034	8402556	mat	1.117640435	11.58	9.06	14.02	8.1	4.44	2.76	1.11	2.33	1.59	1.67	1.99	3.25	10.36	6.82	11.83	8.67	4.04	4.69	1.7	4.17	2.86	2.34	1.22	1.85																																																
acj6	X	15246389	15272487		0.672413793	0	0	0	0	0	0	0.05	0.06	0.13	0.03	0.02	0.16	0.07	0	0	0	0	0	0	0	0.03	0.05	0	0.02																																																
Ack	3L	4108204	4114161	matzyg	0.942667067	27.5	31.65	35.66	26.82	24.67	18.26	25.12	39.51	72.45	80.18	73.23	89.23	29.53	36.6	33.2	34.41	29.66	28.48	25.85	31.69	72.41	68.48	78.53	50.53	27.5	31.65	35.66	26.09	22.54	15.89	17.87	25.5	27.65	40.09	31.26	31.97	29.53	36.6	33.2	34.41	26.39	24.58	14.8	25.35	27.72	27.67	32.84	20.38	0	0	0	0.73	2.13	2.37	7.25	14.01	44.8	40.09	41.97	57.26	0	0	0	0	3.27	3.9	11.05	6.34	44.69	40.81	45.69	30.15
Acon	2L	21168615	21173017	mat	0.971005559	274.69	288.97	291.36	277.67	295.64	256.46	254.77	332.04	259.15	274.68	173.93	211.14	280.35	337.41	318.88	327.49	255.05	291.75	243.92	294.44	165.92	269.54	187.33	102.43																																																
Acox57D-d	2R	17276900	17279944	mat	0.981528195	61.54	47.77	49.07	23.91	9.08	5.69	6.01	7.8	3.28	2.38	2.87	2.04	58.98	57.63	40.6	27.55	10.09	8.46	3.89	7.39	1.95	3.21	2.66	1.35																																																
Acox57D-p	2R	17273858	17276788	mat	0.920585745	45.15	36.42	51.53	21.96	2.88	1.42	1.28	1.42	2.36	1.16	2.54	5.27	58.85	32.38	43.71	29.84	5.09	3.27	1.7	2.65	3.59	1.94	2.23	2.81																																																
Acp1	2L	7740551	7741542	zyg	0.538348083	0	0	0	0	0.07	0	0.03	0	0.12	0.11	0.05	0.35	0	0	0	0.07	0.08	0	0	0	0.22	0	0.09	0.11																																																
Acp26Aa	2L	5892882	5893896		0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
Acp29AB	2L	8392465	8393239		0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0																																																
Acp32CD	2L	11015641	11016573		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0.06	0																																																
Acp36DE	2L	18356112	18359026		0.129277567	0	0.02	0	0	0.02	0.04	0.04	0.06	0	0.04	0	0	0	0.09	0	0	0.02	0.04	0.03	0	0.13	0	0	0.22																																																
Acp65Aa	3L	6145149	6145845		0	0	0	0	0	0	0	0.09	0	0	0	0	0.1	0	0	0	0	0.08	0.09	0	0	0	0	0	0.08																																																
Acp76A	3L	19043890	19045126		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0																																																
Acp95EF	3R	20054696	20055001	zyg	0.504962615	0	0.49	1.43	0	2.63	2.34	0.66	2.49	1.05	4.32	5.33	5.58	0	0	0	0.25	1.61	0.22	1.37	1.67	6.71	1.71	3.72	10.3																																																
Acph-1	3R	25816860	25818998	mat	0.942056061	92.04	77.58	122.94	104.12	34.38	24.02	17.33	16.11	1.13	2.8	0.66	1.04	109.14	61.73	112.68	121.67	51.27	34.02	7.34	25.29	1.09	2.23	1.03	0.83	92.04	77.58	122.61	104.12	34.38	24.02	17.33	16.11	0	0	0	0	109.14	61.73	112.68	121.67	51.27	34.02	7.34	25.29	0	2.09	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0
Act42A	2R	1901414	1903190	mat	1.021441762	198.41	207.11	245.36	241.41	260.72	270.79	250.46	303.11	336.89	340.7	353.23	351.61	208.28	212.54	224.17	242.84	289.13	272.81	265.29	295.74	310.94	326.34	305.79	303.31																																																
Act57B	2R	16831532	16833945	mat	0.944764318	18.45	19.26	17.53	11.95	21.55	15.19	24.01	17.54	25.32	15.7	20.69	17.44	19.22	27.05	17.16	18.48	25.36	19.34	20.33	18.72	11.86	21.6	19.76	16.31																																																
